Total Flights, Number Long Haul, Number Short Haul, Number Departed
96,22,74, 35
39,15,24, 13
71,54,17, 29
72,12,60, 29
62,0,62, 26
50,0,50, 23
74,0,74, 35
66,21,45, 32
61,0,61, 23
73,13,60, 42
55,17,38, 26
53,0,53, 23
67,0,67, 28
63,2,61, 30
47,15,32, 18
78,26,52, 35
72,0,72, 27
44,12,32, 16
71,28,43, 35
53,23,30, 25
57,34,23, 20
54,23,31, 17
61,0,61, 26
60,32,28, 28
62,0,62, 27
76,7,69, 35
43,0,43, 19
47,0,47, 15
52,36,16, 16
59,34,25, 19
59,45,14, 18
53,53,0, 16
65,40,25, 27
59,53,6, 27
61,55,6, 30
58,47,11, 24
73,25,48, 35
54,17,37, 22
45,0,45, 16
